"Title","Publish Year","Authors","Rating","Image Uri","Amazon Uri","Content Uri","Content Type","Category Group Name","Category Name","Reflection"
"The Design of Everyday Things","2013","Don Norman","0.00","http://ecx.images-amazon.com/images/I/417eQ5d7FiL._SX322_BO1,204,203,200_.jpg","http://www.amazon.com/The-Design-Everyday-Things-Expanded/dp/0465050654/ref=pd_rhf_se_s_cp_5?ie=UTF8&dpID=417eQ5d7FiL&dpSrc=sims&preST=_SL500_SR87%2C135_&refRID=1F6D1WH0KRMK460C1N8E","","","Software Engineering","General",""
"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability","2014","Steve Krug","0.00","http://ecx.images-amazon.com/images/I/51pnouuPO5L._SX387_BO1,204,203,200_.jpg","http://www.amazon.com/Dont-Make-Think-Revisited-Usability/dp/0321965515/ref=pd_sim_14_25?ie=UTF8&dpID=51pnouuPO5L&dpSrc=sims&preST=_AC_UL160_SR124%2C160_&refRID=17DXEFEWSBP8W8N7CQS5","","","Software Engineering","General",""
"Soft Skills: The software developer's life manual","2015","John Sonmez","0.00","http://ecx.images-amazon.com/images/I/51WiLueukSL._SX396_BO1,204,203,200_.jpg","http://www.amazon.com/Soft-Skills-software-developers-manual/dp/1617292397/ref=pd_sim_14_8?ie=UTF8&dpID=51WiLueukSL&dpSrc=sims&preST=_AC_UL160_SR127%2C160_&refRID=17DXEFEWSBP8W8N7CQS5","","","Software Engineering","General",""
"Refactoring: Improving the Design of Existing Code","1999","Martin Fowler, Kent Beck, John Brant, William Opdyke, Don Roberts, Erich Gamma (Foreword)","0.00","http://ecx.images-amazon.com/images/I/512-aYxS4ML._SX394_BO1,204,203,200_.jpg","http://www.amazon.com/Refactoring-Improving-Design-Existing-Code/dp/0201485672/ref=pd_sim_14_2?ie=UTF8&dpID=512-aYxS4ML&dpSrc=sims&preST=_AC_UL160_SR127%2C160_&refRID=102A4JT8MF40X3E43R8H","","","Software Engineering","Programming",""
"Concurrent Programming in Java Design Principles and Pattern","1999","Doug Lee","0.00","http://ecx.images-amazon.com/images/I/51qwMpuMlzL._SX400_BO1,204,203,200_.jpg","http://www.amazon.com/Concurrent-Programming-Java%C2%99-Principles-Pattern/dp/0201310090/ref=sr_1_1?s=books&ie=UTF8&qid=1456836231&sr=1-1&keywords=Concurrent+Programming+in+Java+Design+Principles+and+Pattern","","","Software Engineering","Programming",""
"The Pragmatic Programmer: From Journeyman to Master","2000","Andrew Hunt, David Thomas","0.00","http://ecx.images-amazon.com/images/I/41BKx1AxQWL._SX396_BO1,204,203,200_.jpg","http://www.amazon.com/The-Pragmatic-Programmer-Journeyman-Master/dp/020161622X/ref=pd_sim_14_18?ie=UTF8&dpID=41BKx1AxQWL&dpSrc=sims&preST=_AC_UL160_SR127%2C160_&refRID=10S5HPWE6XZ6YS0318ZC","","","Software Engineering","Programming",""
"Planning Extreme Programming","2000","Kent Beck, Martin Fowler","0.00","http://ecx.images-amazon.com/images/I/51VlgD3ZjBL._SX405_BO1,204,203,200_.jpg","http://www.amazon.com/Planning-Extreme-Programming-Kent-Beck/dp/0201710919/ref=sr_1_1?s=books&ie=UTF8&qid=1456836395&sr=1-1&keywords=Planning+Extreme+Programming","","","Software Engineering","Programming",""
"C++ Network Programming Volume 1: Mastering Complexity with ACE and Patterns","2001","Douglas Schmidt, Stephen D. Huston","0.00","http://ecx.images-amazon.com/images/I/51NpMs4ViHL._SX395_BO1,204,203,200_.jpg","http://www.amazon.com/Network-Programming-Mastering-Complexity-Patterns/dp/0201604647/ref=sr_1_1?s=books&ie=UTF8&qid=1456830793&sr=1-1&keywords=C%2B%2B+Network+Programming+Volume+1","","","Software Engineering","Programming",""
"C++ Network Programming Volume 2 : : Systematic Reuse with ACE and Frameworks","2002","Douglas Schmidt, Stephen D. Huston","0.00","http://ecx.images-amazon.com/images/I/513KufUoP8L._SX396_BO1,204,203,200_.jpg","http://www.amazon.com/Network-Programming-Systematic-Reuse-Frameworks/dp/0201795256/ref=sr_1_1?s=books&ie=UTF8&qid=1456830908&sr=1-1&keywords=C%2B%2B+Network+Programming+Volume+2","","","Software Engineering","Programming",""
"Network Programming for Microsoft Windows","2002","Anthony Jones, Jim Ohlund","0.00","http://ecx.images-amazon.com/images/I/51xFRR1-x-L._SX414_BO1,204,203,200_.jpg","http://www.amazon.com/Network-Programming-Microsoft-Windows-Second/dp/0735615799/ref=sr_1_1?s=books&ie=UTF8&qid=1456836496&sr=1-1&keywords=Network+Programming+for+Microsoft+Windows","","","Software Engineering","Programming",""
